ano,mes,estado,casos,mortes,temperatura,precipitacao,data_criacao,data_atualizacao
2014,Julho,PR,0,0,15.01,1823.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,RJ,3,1,17.22,1361.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,RN,0,3,21.5,451.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,RO,1,0,24.66,95.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,RR,0,0,26.31,0.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,RS,0,0,12.45,4731.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,SC,2,0,13.44,1128.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,SE,3,0,22.57,642.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,SP,4162,2,16.19,1185.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Julho,TO,1,0,24.96,14.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,AC,0,0,13.66,181.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,AL,4,1,22.82,613.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,AM,0,1,22.17,1270.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,AP,0,0,26.34,15.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,BA,3,1,22.27,1082.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,CE,3,6,26.89,15.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,DF,0,1,20.82,0.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,ES,1,1,20.27,593.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,GO,1,4,23.23,3.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,MA,0,0,26.41,137.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,MG,5,0,18.94,492.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,MS,4,0,20.54,293.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,MT,0,0,23.33,178.2,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,PA,0,1,22.94,609.8,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,PB,0,0,23.03,216.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,PE,3,4,22.63,458.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,PI,1,0,27.19,10.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,PR,1,0,17.12,1132.6,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,RJ,1,0,19.09,668.4,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,RN,0,1,23.18,118.0,2025-07-22 22:31:01,2025-07-22 22:31:01
2014,Agosto,RO,0,1,26.35,133.8,2025-07-22 22:31:01,2025-07-22 22:31:01
