Ano;Mês;UF;Precipitação Total;Temperatura Média
2014;Janeiro;Rio de Janeiro;1117.8;23.94
2014;Fevereiro;Rio de Janeiro;882.0;24.33
2014;Março;Rio de Janeiro;2252.4;24.03
2014;Abril;Rio de Janeiro;2302.4;22.11
2014;Maio;Rio de Janeiro;895.2;19.12
2014;Junho;Rio de Janeiro;785.2;18.31
2014;Julho;Rio de Janeiro;1361.6;17.22
2014;Agosto;Rio de Janeiro;668.4;19.09
2014;Setembro;Rio de Janeiro;719.4;20.85
2014;Outubro;Rio de Janeiro;1229.0;21.56
2014;Novembro;Rio de Janeiro;2258.0;22.71
2014;Dezembro;Rio de Janeiro;1641.4;24.6
2014;Janeiro;São Paulo;3085.6;21.63
2014;Fevereiro;São Paulo;2540.6;21.84
2014;Março;São Paulo;3154.4;19.65
2014;Abril;São Paulo;2119.6;19.68
2014;Maio;São Paulo;1269.8;17.95
2014;Junho;São Paulo;564.6;17.84
2014;Julho;São Paulo;1185.4;16.19
2014;Agosto;São Paulo;554.2;17.99
2014;Setembro;São Paulo;2610.8;19.74
2014;Outubro;São Paulo;1216.0;22.2
2014;Novembro;São Paulo;4811.8;21.28
2014;Dezembro;São Paulo;6065.2;23.38
2014;Janeiro;Paraná;3829.2;23.41
2014;Fevereiro;Paraná;2833.2;23.56
2014;Março;Paraná;4294.4;21.03
2014;Abril;Paraná;2384.6;18.73
2014;Maio;Paraná;2396.2;16.37
2014;Junho;Paraná;3857.2;16.27
2014;Julho;Paraná;1823.6;15.01
2014;Agosto;Paraná;1132.6;17.12
2014;Setembro;Paraná;4022.6;17.96
2014;Outubro;Paraná;1089.6;21.28
2014;Novembro;Paraná;2624.8;21.73
2014;Dezembro;Paraná;3264.2;22.16
2014;Janeiro;Rio Grande do Sul;6428.6;22.69
2014;Fevereiro;Rio Grande do Sul;6636.2;22.29
2014;Março;Rio Grande do Sul;6796.0;19.86
2014;Abril;Rio Grande do Sul;4111.2;18.55
2014;Maio;Rio Grande do Sul;4908.4;14.1
2014;Junho;Rio Grande do Sul;6658.2;10.92
2014;Julho;Rio Grande do Sul;4731.4;12.45
2014;Agosto;Rio Grande do Sul;2979.0;14.01
2014;Setembro;Rio Grande do Sul;8057.4;15.66
2014;Outubro;Rio Grande do Sul;5987.0;17.85
2014;Novembro;Rio Grande do Sul;3569.4;20.21
2014;Dezembro;Rio Grande do Sul;7644.0;21.65
2014;Janeiro;Santa Catarina;3771.2;22.79
2014;Fevereiro;Santa Catarina;2463.6;22.79
2014;Março;Santa Catarina;3393.4;20.4
2014;Abril;Santa Catarina;2457.6;18.4
2014;Maio;Santa Catarina;1677.6;14.3
2014;Junho;Santa Catarina;4152.8;12.52
2014;Julho;Santa Catarina;1128.6;13.44
2014;Agosto;Santa Catarina;1704.2;15.07
2014;Setembro;Santa Catarina;4234.0;16.97
2014;Outubro;Santa Catarina;1721.0;19.71
2014;Novembro;Santa Catarina;3125.8;20.09
2014;Dezembro;Santa Catarina;4835.4;21.16
2015;Janeiro;Distrito Federal;239.4;22.75
2015;Fevereiro;Distrito Federal;470.4;21.83
2015;Março;Distrito Federal;875.0;20.79
2015;Abril;Distrito Federal;714.8;21.65
2015;Maio;Distrito Federal;102.4;19.99
2015;Junho;Distrito Federal;0.0;19.29
2015;Julho;Distrito Federal;4.2;19.82
2015;Agosto;Distrito Federal;0.0;20.35
2015;Setembro;Distrito Federal;59.4;22.92
2015;Outubro;Distrito Federal;244.6;25.32
2015;Novembro;Distrito Federal;478.2;23.49
2015;Dezembro;Distrito Federal;489.0;23.15
2015;Janeiro;Goiás;1786.8;23.52
2015;Fevereiro;Goiás;3950.6;21.5
2015;Março;Goiás;4990.2;20.78
2015;Abril;Goiás;2835.6;21.61
2015;Maio;Goiás;1120.2;21.24
2015;Junho;Goiás;161.8;21.11
2015;Julho;Goiás;176.4;21.1
2015;Agosto;Goiás;76.0;22.41
2015;Setembro;Goiás;624.2;25.16
2015;Outubro;Goiás;1565.2;26.28
2015;Novembro;Goiás;3528.6;24.98
2015;Dezembro;Goiás;2845.0;23.77
2015;Janeiro;Mato Grosso do Sul;3248.6;26.15
2015;Fevereiro;Mato Grosso do Sul;4064.4;24.77
2015;Março;Mato Grosso do Sul;2937.8;23.3
2015;Abril;Mato Grosso do Sul;2395.2;21.93
2015;Maio;Mato Grosso do Sul;3470.6;20.26
2015;Junho;Mato Grosso do Sul;943.0;18.53
2015;Julho;Mato Grosso do Sul;1795.4;17.35
2015;Agosto;Mato Grosso do Sul;402.6;22.06
2015;Setembro;Mato Grosso do Sul;3673.4;22.31
2015;Outubro;Mato Grosso do Sul;3439.0;25.51
2015;Novembro;Mato Grosso do Sul;5529.0;24.46
2015;Dezembro;Mato Grosso do Sul;4597.8;22.92
2015;Janeiro;Mato Grosso;4034.2;22.16
2015;Fevereiro;Mato Grosso;5047.6;21.6
2015;Março;Mato Grosso;4288.8;21.33
2015;Abril;Mato Grosso;3421.2;20.21
2015;Maio;Mato Grosso;1514.2;20.25
2015;Junho;Mato Grosso;148.0;18.92
2015;Julho;Mato Grosso;281.0;18.37
2015;Agosto;Mato Grosso;257.6;20.34
2015;Setembro;Mato Grosso;992.0;23.3
